id;from1;comment1;date1;testcountry
321;Mateja A;One of the best walking tours I had a pleasure to be a part of. Kris was so enthusiastic, funny and knowledgeable. We had a great, fun time. I cannot recommend enough.;07.12.2013;Croatia
322;Jack S;"Well, it's free, it will take you to almost all the neat places in Sofia, and it will give you tons of neat facts about the places. And it's free. You can't beat that. This tour is well-organized with friendly guides and a good path throughout the city. We did the night tour and absolutely loved it. 

If you're in Sofia, this is one of the best ways to see the sights (and you can make plans to return the next day when you have more time). Go do it!";11.12.2013;USA
323;DiYaneva;Stefan was our guide and he was awesome - educated young man with a great sense of humor. I am Bulgarian and took the trip with a couple that visits me from the States. The two hours tour was just about the right portion of history and walking for my friends. If it was not that freezing (mid December) I would have loved a longer walk. Since I was not born and raised in Sofia I learned pretty good stuff as well. Recommend the tour not only to tourists but to locals as well. We do have a beautiful country!;13.12.2013;Bulgaria
324;Debra D;We were completely new to Sofia and this was a wonderful introduction. We saw a wide variety of building and ruins and developed a general understanding of the city center. The guide was friendly, informative and easy to understand.;15.12.2013;USA
325;nbnb12;Excellent way to explore Sofia on a budget if that's what you're looking for. Otherwise the guides are young and energetic, always ready to help and give advices. P.S. You should give some tip in the end;18.12.2013;
326;siftinius;I've joined many walking tours in European Capitals and this was one of the best! Our guide Filip was a great guy with full of knowledge -and a good sense of humour as well. He explained the political and cultural history the country back from the in detail (even with representations:), many interesting facts about the city. ;26.12.2013;Turkey
327;TheVeggieNomad;This tour was excellent. Our guide was friendly and very knowledgable. We did this on our first day in Sofia and it was a great way to get our bearings in the city and decide where we would like to spend some time over the upcoming week. The group of tourists that congregated at the meeting point was an eclectic mix from all over the world. Wear comfortable shoes as you will be walking for about two hours. The tour does not take you into any buildings, so I recommend doing it early in your visit so you have time to go back to anything that catches your interest. Although the tour is free, give a gratuity if you enjoy yourself to support the program. What an excellent way to spend the morning, thank you.;02.01.2014;Canada
328;John E;I really liked the Free Tour. It was the best thing I did in Sofia. It basically shows you everything you need to see, while informing you about the history of the city and the country. My tour guide was Nikki (hopefully I wrote his name correctly). He was excellent. He asked for volunteers and created a little show were some of the members were kings, queens ect. and the rest were the Bulgarian pleople, teaching us about the recent historical and political situation of the country. He even made us questions with candies as a reward! I totally recommend the Free Tour as the first thing one should do in Sofia. It actually enchanced my opinion about the city.;04.01.2014;Greece
329;Brendan N;"After spending a cold and foggy afternoon ""self-guiding"" ourselves around Sofia the day before, this tour made Sofia come alive for me. So informative about the history, architecture and culture of the city. And our guide, Radina, made it so much fun too. Ended up having lunch with some really interesting people from the tour too at a place recommended by our guide.";05.01.2014;
330;Jack Frank;The Free Sofia Tour was an excellent way to learn about the culture and history of an amazing city. The 2 hour easy walking tour was definitely worth braving the cold for. Petya, the tour guide, gave great insight into what makes Sofia a definite must on any Europe itinerary. Thank you.;16.01.2014;Australia
331;Shiv Misra;Our Guide (Martin ) was really informative and made the tour very interactive . It's worth the time . This tour is a great way to know the history of the city and learn some interesting facts of the city;17.01.2014;UK
332;Klaus Sanko;When you arrive in Sofia this is the tour that you absolutely must do. Our guide was Filip and we have only words of praise for him! Very original and entertaining tour presenting Sofia, with two hour of easy walking. We learned a lot about the history of Sofia with the addition of interesting facts and anecdotes. All the time Filip kept us focused and it was pleasure to listen him telling story about the city in his very original way. The tour is free but you can donate some money if you want but is not necessary. Highly recommended tour!!!;03.02.2014;Croatia
